Search_method Problem Max_evals Run Score
hill_climber_cliff_score knapPI_11_20_1000_4 1000 0 1140
hill_climber_cliff_score knapPI_11_20_1000_4 1000 1 1140
hill_climber_cliff_score knapPI_11_20_1000_4 1000 2 0
hill_climber_cliff_score knapPI_11_20_1000_4 1000 3 900
hill_climber_cliff_score knapPI_11_20_1000_4 1000 4 600
hill_climber_cliff_score knapPI_11_20_1000_4 1000 5 1140
hill_climber_cliff_score knapPI_11_20_1000_4 1000 6 1060
hill_climber_cliff_score knapPI_11_20_1000_4 1000 7 1020
hill_climber_cliff_score knapPI_11_20_1000_4 1000 8 1260
hill_climber_cliff_score knapPI_11_20_1000_4 1000 9 1400
hill_climber_cliff_score knapPI_11_20_1000_4 1000 10 1100
hill_climber_cliff_score knapPI_11_20_1000_4 1000 11 0
hill_climber_cliff_score knapPI_11_20_1000_4 1000 12 900
hill_climber_cliff_score knapPI_11_20_1000_4 1000 13 1080
hill_climber_cliff_score knapPI_11_20_1000_4 1000 14 0
hill_climber_cliff_score knapPI_11_20_1000_4 1000 15 1320
hill_climber_cliff_score knapPI_11_20_1000_4 1000 16 1240
hill_climber_cliff_score knapPI_11_20_1000_4 1000 17 1100
hill_climber_cliff_score knapPI_11_20_1000_4 1000 18 1160
hill_climber_cliff_score knapPI_11_20_1000_4 1000 19 820
hill_climber_cliff_score knapPI_11_20_1000_4 1000 20 0
hill_climber_cliff_score knapPI_11_20_1000_4 1000 21 1060
hill_climber_cliff_score knapPI_11_20_1000_4 1000 22 980
hill_climber_cliff_score knapPI_11_20_1000_4 1000 23 1080
hill_climber_cliff_score knapPI_11_20_1000_4 1000 24 1160
hill_climber_cliff_score knapPI_11_20_1000_4 1000 25 1020
hill_climber_cliff_score knapPI_11_20_1000_4 1000 26 1200
hill_climber_cliff_score knapPI_11_20_1000_4 1000 27 780
hill_climber_cliff_score knapPI_11_20_1000_4 1000 28 1080
hill_climber_cliff_score knapPI_11_20_1000_4 1000 29 1180
hill_climber_cliff_score knapPI_13_20_1000_4 1000 0 0
hill_climber_cliff_score knapPI_13_20_1000_4 1000 1 0
hill_climber_cliff_score knapPI_13_20_1000_4 1000 2 0
hill_climber_cliff_score knapPI_13_20_1000_4 1000 3 0
hill_climber_cliff_score knapPI_13_20_1000_4 1000 4 0
hill_climber_cliff_score knapPI_13_20_1000_4 1000 5 0
hill_climber_cliff_score knapPI_13_20_1000_4 1000 6 0
hill_climber_cliff_score knapPI_13_20_1000_4 1000 7 0
hill_climber_cliff_score knapPI_13_20_1000_4 1000 8 0
hill_climber_cliff_score knapPI_13_20_1000_4 1000 9 0
hill_climber_cliff_score knapPI_13_20_1000_4 1000 10 0
hill_climber_cliff_score knapPI_13_20_1000_4 1000 11 0
hill_climber_cliff_score knapPI_13_20_1000_4 1000 12 0
hill_climber_cliff_score knapPI_13_20_1000_4 1000 13 676
hill_climber_cliff_score knapPI_13_20_1000_4 1000 14 0
hill_climber_cliff_score knapPI_13_20_1000_4 1000 15 0
hill_climber_cliff_score knapPI_13_20_1000_4 1000 16 0
hill_climber_cliff_score knapPI_13_20_1000_4 1000 17 0
hill_climber_cliff_score knapPI_13_20_1000_4 1000 18 0
hill_climber_cliff_score knapPI_13_20_1000_4 1000 19 0
hill_climber_cliff_score knapPI_13_20_1000_4 1000 20 0
hill_climber_cliff_score knapPI_13_20_1000_4 1000 21 0
hill_climber_cliff_score knapPI_13_20_1000_4 1000 22 0
hill_climber_cliff_score knapPI_13_20_1000_4 1000 23 0
hill_climber_cliff_score knapPI_13_20_1000_4 1000 24 0
hill_climber_cliff_score knapPI_13_20_1000_4 1000 25 0
hill_climber_cliff_score knapPI_13_20_1000_4 1000 26 0
hill_climber_cliff_score knapPI_13_20_1000_4 1000 27 0
hill_climber_cliff_score knapPI_13_20_1000_4 1000 28 0
hill_climber_cliff_score knapPI_13_20_1000_4 1000 29 0
hill_climber_cliff_score knapPI_16_20_1000_4 1000 0 0
hill_climber_cliff_score knapPI_16_20_1000_4 1000 1 0
hill_climber_cliff_score knapPI_16_20_1000_4 1000 2 0
hill_climber_cliff_score knapPI_16_20_1000_4 1000 3 0
hill_climber_cliff_score knapPI_16_20_1000_4 1000 4 0
hill_climber_cliff_score knapPI_16_20_1000_4 1000 5 0
hill_climber_cliff_score knapPI_16_20_1000_4 1000 6 0
hill_climber_cliff_score knapPI_16_20_1000_4 1000 7 0
hill_climber_cliff_score knapPI_16_20_1000_4 1000 8 0
hill_climber_cliff_score knapPI_16_20_1000_4 1000 9 0
hill_climber_cliff_score knapPI_16_20_1000_4 1000 10 1751
hill_climber_cliff_score knapPI_16_20_1000_4 1000 11 0
hill_climber_cliff_score knapPI_16_20_1000_4 1000 12 0
hill_climber_cliff_score knapPI_16_20_1000_4 1000 13 0
hill_climber_cliff_score knapPI_16_20_1000_4 1000 14 0
hill_climber_cliff_score knapPI_16_20_1000_4 1000 15 0
hill_climber_cliff_score knapPI_16_20_1000_4 1000 16 0
hill_climber_cliff_score knapPI_16_20_1000_4 1000 17 0
hill_climber_cliff_score knapPI_16_20_1000_4 1000 18 0
hill_climber_cliff_score knapPI_16_20_1000_4 1000 19 0
hill_climber_cliff_score knapPI_16_20_1000_4 1000 20 0
hill_climber_cliff_score knapPI_16_20_1000_4 1000 21 0
hill_climber_cliff_score knapPI_16_20_1000_4 1000 22 0
hill_climber_cliff_score knapPI_16_20_1000_4 1000 23 0
hill_climber_cliff_score knapPI_16_20_1000_4 1000 24 0
hill_climber_cliff_score knapPI_16_20_1000_4 1000 25 0
hill_climber_cliff_score knapPI_16_20_1000_4 1000 26 0
hill_climber_cliff_score knapPI_16_20_1000_4 1000 27 0
