Search_method Problem Max_evals Run Score
hc_cliff_score knapPI_11_20_1000_4 20000 0 0
hc_cliff_score knapPI_11_20_1000_4 20000 1 1320
hc_cliff_score knapPI_11_20_1000_4 20000 2 0
hc_cliff_score knapPI_11_20_1000_4 20000 3 0
hc_cliff_score knapPI_11_20_1000_4 20000 4 1400
hc_cliff_score knapPI_11_20_1000_4 20000 5 0
hc_cliff_score knapPI_11_20_1000_4 20000 6 1320
hc_cliff_score knapPI_11_20_1000_4 20000 7 1400
hc_cliff_score knapPI_11_20_1000_4 20000 8 1400
hc_cliff_score knapPI_11_20_1000_4 20000 9 0
hc_cliff_score knapPI_11_20_1000_4 20000 10 0
hc_cliff_score knapPI_11_20_1000_4 20000 11 1320
hc_cliff_score knapPI_11_20_1000_4 20000 12 1400
hc_cliff_score knapPI_11_20_1000_4 20000 13 0
hc_cliff_score knapPI_11_20_1000_4 20000 14 1320
hc_cliff_score knapPI_11_20_1000_4 20000 15 0
hc_cliff_score knapPI_11_20_1000_4 20000 16 1400
hc_cliff_score knapPI_11_20_1000_4 20000 17 1320
hc_cliff_score knapPI_11_20_1000_4 20000 18 0
hc_cliff_score knapPI_11_20_1000_4 20000 19 1320
hc_cliff_score knapPI_11_20_1000_4 20000 20 0
hc_cliff_score knapPI_11_20_1000_4 20000 21 1400
hc_cliff_score knapPI_11_20_1000_4 20000 22 0
hc_cliff_score knapPI_11_20_1000_4 20000 23 0
hc_cliff_score knapPI_11_20_1000_4 20000 24 1400
hc_cliff_score knapPI_11_20_1000_4 20000 25 0
hc_cliff_score knapPI_11_20_1000_4 20000 26 0
hc_cliff_score knapPI_11_20_1000_4 20000 27 0
hc_cliff_score knapPI_11_20_1000_4 20000 28 0
hc_cliff_score knapPI_11_20_1000_4 20000 29 0
hc_cliff_score knapPI_11_20_1000_4 20000 30 1320
hc_cliff_score knapPI_11_20_1000_4 20000 31 0
hc_cliff_score knapPI_11_20_1000_4 20000 32 1320
hc_cliff_score knapPI_11_20_1000_4 20000 33 0
hc_cliff_score knapPI_11_20_1000_4 20000 34 1400
hc_cliff_score knapPI_11_20_1000_4 20000 35 1400
hc_cliff_score knapPI_11_20_1000_4 20000 36 0
hc_cliff_score knapPI_11_20_1000_4 20000 37 1400
hc_cliff_score knapPI_11_20_1000_4 20000 38 0
hc_cliff_score knapPI_11_20_1000_4 20000 39 1260
hc_cliff_score knapPI_11_20_1000_4 20000 40 0
hc_cliff_score knapPI_11_20_1000_4 20000 41 0
